Ano Projeto,Codigo,Tipo de Ação,Titulo,Centro de Ensino,Unidade,Data Inicio,Data Fim,Situacao,Status_macro,Fonte Financiamento
2025,PJ90-2025,Projeto,Monitoração fisiológica de equipes esportivas internacionais,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE EDUCAÇÃO FÍSICA,2025-03-01,2027-02-28,EM EXECUÇÃO,Ativo,FINANCIAMENTO INTERNO
2023,PJ996-2023,Projeto,MONITORAMENTO AMBIENTAL EM CULTIVO DE FLORES NO BREJO DA PARAÍBA: APOIO À PRÁTICAS SUSTENTÁVEIS DE PRODUÇÃO,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE SOLOS E ENGENHARIA RURAL,2023-08-01,2024-07-31,PROJETO CANCELADO,Cancelado/Reprovado,FINANCIAMENTO INTERNO
2022,PJ163-2022,Projeto,"Monitoramento cidadão costeiro no município de Conde, Paraíba",CCEN - Centro de Ciências Exatas,CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA,2022-07-01,2022-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,PJ522-2021,Projeto,Monitoramento da Acessibilidade aos Conteúdos Jornalísticos nos Portais Paraibanos,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE JORNALISMO,2021-05-03,2022-04-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,PJ886-2020,Projeto,Monitoramento da contaminação do milho crioulo pelas sementes transgênicas: uma ferramenta para preservar a diversidade de um patrimônio genético e cultural,CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO,2020-06-01,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ1183-2024,Projeto,Monitoramento da produção comercializada nas quitandas agroecológicas do território da Borborema,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2024-08-01,2025-10-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,PJ1476-2025,Projeto,Monitoramento da produção de alimentos comercializada nas quitandas e feiras agroecológicas e Unidade de Beneficiamento de Milho do território da Borborema,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2025-11-01,2026-10-31,EM EXECUÇÃO,Ativo,FINANCIAMENTO INTERNO
2023,PJ616-2023,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DAS MICROBACIAS PRESENTES NO MUNICÍPIO DE JOÃO PESSOA,CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA QUÍMICA,2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,PJ752-2020,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DE POÇOS UTILIZADAS PELA POPULAÇÃO AREIENSE,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2020-06-01,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,PJ787-2021,Projeto,MONITORAMENTO DA QUALIDADE DA ÁGUA DE POÇOS UTILIZADAS PELA POPULAÇÃO AREIENSE - ANO II,CCA - Centro de Ciências Agrárias,CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA,2021-07-01,2021-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
